Coin,Price,24H Volume,Market Cap,Circulating Supply
SLS,0.60247656,0,622932.963214421,0
SOIL,0.009900764000000001,0,0,0
DIGIC,0.1526467416,0,0,0
YOC,0.000139911993,3678.569627395064,0,0
VPRC,3.96e-06,0,0,0
APC,0.00012910212,0,0,0
STEPS,0.0088224169,0,0,0
DBTC,0.00033879,0,0,0
UNIT,0.0031848,0,0,0
AEON,0.09251065389,0,1667020.9577813211,0
MOIN,0.15764252,28313.2791646995,0,0
SIB,0.101445,0,2007675.8885032448,0
ERC,0.134435406,0,0,0
AIB,0.00179554,0,0,0
PRIME,0.00034546,0,0,0
BERN,0.00068068,0,0,0
BIGUP,2.06e-06,3.0656527675024154,0,0
XRE,0.019372581,0,0,0
PEPE,0.0333579375,2344.485069869019,0,0
XDB,0.00110206,0,0,0
ANTI,0.0004304946,0,0,0
BRK,0.0213060375,0,0,0
COLX,0.0002152589,0,0,0
MNM,0.0038763285,0,0,0
ZEIT,3.617e-05,0,0,0
2GIVE,0.0001093833,0,0,0
CGA,0.505859355,0,0,0
SWING,0.0243018,0,0,0
SAFEX,0.0340346709,78960.33747173243,73088899.18877678,0
NEBU,0.00179513,0,0,0
AEC,0.0008607424000000001,0,0,0
FRN,0.002,0,0,0
ADNT
PULSE,0.0049498231,0,0,0
N7,0.00083785,0,0,0
CYG,0.00017208,0.00189288,0,0
LGBTQ,0.00022103,0,0,0
UTH,0.0010760055,0,0,0
MPRO,0.00477489,0,0,0
KATZ,3.29e-06,0,0,0
SPM,0.00019155,0.004733612769234,0,0
MOJO,0.00744748,0,0,0
BELA,0.1697655795,0,0,0
CFLASH,0.00491218,0,0,0
BOLI,0.0025822812,10.64235912475368,0,0
CLUD,9.854e-05,3.111847415563782,0,0
DIME,9.2e-07,0,0,0
FLYCOIN,0.161397152,0,0,0
HVCO,0.0026494412,0,0,0
GIZ,0.0008607660000000001,0,0,0
GREXIT,0.00591121,4.260898494357796,0,0
CARBON,0.00043038,0,0,0
DEUR,0.00021521,0,0,0
TUR,2.93960682,0,0,0
LEMON,0.0017215464,0,0,0
DISK,0.0002673726,26.50406354329157,0,0
NEVA,0.004009863,0,0,0
CYT,0.618,0.00309,0,0
FUZZ,0.01147786,0,0,0
NKC,0.00085799,0,0,0
SECRT,0.0309921408,0,0,0
XRA,0.01426,2921.60442043021,0,0
XNX,0.0002129,5.005485287257879,0,0
STHR,0.42000001,0,0,0
BONES,2.863e-05,0,0,0
WMC,0.002698077,0.5041418179126365,0,0
GOTX,1.1e-06,0.5222368998496763,0,0
FLVR,0.00068292,0.0067319965818,0,0
SHREK,6.7e-06,0,0,0
RISEVISION,0.0008784725999999999,12.0491301816,175664.47923267155,0
REVE,0.001,0,0,0
PBC,4.2e-07,0,0,0
OBSCURE
EXIT,9.79e-06,0,0,0
EDUC
CLINT,0.000601,2.4999388879891677,0,0
CKC,0.0111908212,0,0,0
VIP,0.0001336588,0.8329255537239999,0,0
NXE,0.0075322835,0.18570958412971786,0,0
ZOOM,0.02870542,3.286175465500858,0,0
DRACO,0.00026551,0,0,0
YOVI,683.336886,0,0,0
ORLY,0.0003856,0,0,0
KUBOS
INCP,0.00425267,0,0,0
SAK,0.0007168971999999999,0,0,0
EVIL,0.0023934515,0,0,0
OMA,0.1091,0.8698259177117051,0,0
MUE,0.0006456176999999999,1420.323134457981,0,0
COX,3.23e-06,0,0,0
BNT,0.4963,3735264.846784439,112362366.64088015,0
BSEND,0.006088101900000001,2183.8790095201143,0,0
DESTINY,0.05057012,0,0,0
BIT16,0.00254204,4.571882417010422,0,0
PDC,0.049495011,0,0,0
