Time,Volume (in USD),Volume (in INR),Volume (in EUR)
1655197200,1555969240.99,136787377370.43,1491786662.5
1655200800,1577179860.67,132264914910.61,1512097051.23
1655204400,1994368340.65,177198435876.83,1910147189.2
1655208000,1885326602.54,147302128806.46,1806246436.77
1655211600,2066300681.04,185365162502.26,1980270842.2
1655215200,1957699119.29,169222690793.53,1882337612.38
1655218800,2039214903.47,213606141555.16,1959436856.89
1655222400,1542326086.51,126941422219.15,1480817162.97
1655226000,1188118502.57,103150093303.1,1141355553.54
1655229600,1148385847.88,95149658513.92,1103342760.67
1655233200,1012461740.14,85071643356.13,972969281.83
1655236800,1135712540.5,102092745550.97,1091219985.23
1655240400,1099382331.03,99679727553.37,1056542587.57
1655244000,861798853.89,77409633113.92,827206585.05
1655247600,1365651422.34,122754735166.75,1309132008.29
1655251200,1212046304.09,113158384486.3,1162191605.77
1655254800,1171661333.24,102639790871.93,1122528650.54
1655258400,974316609.74,80526241407.58,933043264.84
1655262000,1244226446.66,105472396913.19,1192434040.65
1655265600,2451299263.47,219041176782.81,2351346835.92
1655269200,2199710779.09,191435369624.41,2102442396.89
1655272800,1658057022.38,142182391025.59,1583424885.89
1655276400,2114737486.01,185670646033.44,2021947406.42
1655280000,3426163871.36,305796271994.12,3267411422.37
1655283600,2423494741.25,212879413800.14,2311896220.25
1655287200,2507498970.61,214008188495.04,2394861000.6
1655290800,2481735340.63,200180638452.06,2374265783.28
1655294400,2054880329.25,173546727641.41,1974336296.4
1655298000,2235763993.51,191122283574.31,2144860336.66
1655301600,1929600750.08,161843593107.84,1855551928.32
1655305200,1365088751.08,121231817176.59,1314620381
1655308800,1654005716.88,152774820163.42,1593093576.25
1655312400,2137721687.18,184794401461.09,2056895688.68
1655316000,6255195588.72,533438089964.49,5979549632.49
1655319600,3002406906.3,277324338561.93,2871212444.08
1655323200,1422330917.08,115630809075.79,1362830939.63
1655326800,1229660437.38,111151359805.66,1178388095.09
1655330400,1860408880.71,165984238712.42,1782223969.21
1655334000,1146454424.85,89489588937.76,1096972439.21
1655337600,1510875756.27,135386546404.5,1444906305.81
1655341200,1279474374.22,117311107542.84,1226948511.23
1655344800,842685098.04,69123839465.43,807210615.67
1655348400,873610910.79,80583661681.28,836685930.5
1655352000,845198779.26,77875775552.42,810146287.14
1655355600,892952446.84,80597537350.64,856871058.62
1655359200,940984054.33,82415130779.53,903797673.86
1655362800,1255442193.17,108973614014.11,1207302147.31
1655366400,1075255690.39,111157413862.76,1033990110.32
1655370000,1722351933.75,149431729456.69,1655673643.73
1655373600,1638832436.57,144530051821.13,1577455225.32
1655377200,1321897708.41,117597968655.72,1273053448.82
1655380800,1628727689.82,143659788644.22,1563172327.99
1655384400,1747822804.94,145350448729.43,1672586826.42
1655388000,1716260834.86,157869985652.83,1637164235.3
1655391600,1436977392.91,126554350596.93,1365643141.76
1655395200,1536538073.21,132016031138.06,1455974847.63
1655398800,1232988264.51,102505162505.06,1165494832.81
1655402400,914720638.54,80127912316.52,865932002.13
1655406000,996364897.38,83179235531.75,944537539.28
1655409600,1182568435.74,112157020060.02,1121851960.98
1655413200,780268814.05,74088888257.33,739499106.35
1655416800,1044717819.94,95845813387.24,991084928.98
1655420400,1183798268.18,107839777249.24,1123791520.4
1655424000,1303361175.07,118932583089.45,1237166527
1655427600,1526666924.15,123654269700.15,1450281088.4
1655431200,1017595385.27,84100614685.16,967205749.54
1655434800,755543514.65,67603187436.72,718940797.64
1655438400,805097491.66,71434078992.02,765551182.42
1655442000,840067332.93,74775806115.38,799020232.28
1655445600,1081586377.06,88287896053.5,1030446361.93
1655449200,1295709447.32,108566658246.41,1233216884.15
1655452800,974420024.88,85497876597.41,926867486.02
1655456400,922400038.91,79241730845.63,877577797.46
1655460000,943771223.08,79831929067.63,897610161.27
1655463600,854197531.23,72876515805.14,814263522.94
1655467200,989394600,95263571085.18,943301989.64
1655470800,1447602950.32,123603691182.62,1382081403.81
1655474400,1578929344.89,130986598335.67,1511302553.07
1655478000,1223145377.1,109059031115.77,1169456931.43
1655481600,1138425138.87,98480524780.67,1088369748.51
1655485200,961267494.08,83650005990.12,917221190.19
1655488800,726716370.11,62217047001.34,693189318.3
1655492400,665373848.94,58263706478.19,634623441.37
1655496000,738653711.97,59362113540.58,704441401.61
1655499600,452463266.8,41765583857.81,431599368.41
1655503200,663446687.85,54516203320.68,632863901.21
1655506800,468490063.6,42877066439.17,446816483.07
1655510400,831108674.3,67916695154.04,792621619.73
1655514000,758929374.59,67831327089.63,724983417.14
1655517600,790820970.14,69630899661.02,754370178.52
1655521200,541497068.22,44340734213.72,516524554.08
1655524800,449697285.12,37251672159.93,429110592.64
1655528400,474313572.51,41400262230.64,452646195.4
1655532000,2198059067.92,201020516101.85,2105441940.47
1655535600,2877502125.37,267216997698.87,2750150916.64
1655539200,2601936907.85,234443023140.72,2487007723.21
1655542800,1285993205.45,113149380346.54,1228780853.05
1655546400,1426830591.88,122566871043.04,1363301748.34
1655550000,984269976.69,81995823380,940754316.91
1655553600,940229788.37,82582810252.33,898561559.31
1655557200,937223240.4,81928894852.1,894852839.32
1655560800,816394608,71632714097.98,779888269.58
1655564400,906079136.17,79668222342.89,865485690.5
1655568000,1101357732.58,97287817708.51,1051813177.52
1655571600,1649455795.64,146842347768.89,1573620347.56
1655575200,1845547086.78,164215652577.72,1761327880.11
1655578800,1666113724.85,151053621809.47,1590908708.07
1655582400,3202676891.16,294776396921.2,3054861976.55
1655586000,2154465482.6,166055308762.95,2057001287.82
1655589600,2044986579.61,155269325763.81,1951878441.96
1655593200,1161192322.33,89081425963.5,1108506228.33
1655596800,1185574739.64,104755181891.41,1131735493.57
1655600400,1012509512,84505708511.53,965678080.69
1655604000,935670339.88,82077740163.49,893889630.36
1655607600,879463315.56,72721442735.64,839047564.12
